,bagni,locali,piano,prezzo(€),superficie
258,2,5,T,€ 450.000,180
259,3+,5+,,€ 2.900.000,700
260,3,5+,6,€ 1.145.000,210
261,1,2,3,€ 449.000,93
262,2,5,4,€ 860.000,250
263,3+,5+,R,€ 2.950.000,540
264,2,3,A,€ 150.000,65
265,2,4,A,€ 695.000,167
266,1,2,3,€ 520.000,79
267,3,4,T,€ 139.000,120
268,2,5,3,€ 495.000,130
269,2,5+,5,€ 1.500.000,220
270,2,4,1,€ 420.000,109
271,3,5+,3,€ 890.000,195
272,3,4,4,€ 495.000,173
273,2,5+,2,€ 395.000,200
274,2,3,1,€ 365.000,95
275,2,4,,€ 399.000,400
276,3+,5,,€ 590.000,350
277,2,5,1,€ 610.000,156
278,1,3,T,€ 235.000,85
279,3,5+,4,€ 795.000,218
280,3,5,3,€ 849.000,208
281,2,5+,1,€ 1.190.000,179
282,3,5,2,€ 740.000,217
283,3+,5+,,€ 1.450.000,480
284,1,3,2,€ 549.000,115
285,2,3,1,€ 880.000,119
286,2,5,1,€ 390.000,133
287,2,5,A,€ 495.000,145
288,2,3,4,€ 720.000,115
289,1,2,T,€ 195.000,31
290,1,3,4,€ 439.000,72
291,3+,5+,,€ 670.000,350
292,1,4,A,€ 339.000,100
293,2,3,T,€ 245.000,87
294,3+,5,T,€ 560.000,250
295,1,2,1,€ 185.000,73
296,3,5,1,€ 1.080.000,160
297,1,2,1,€ 179.000,67
298,2,3,A,€ 185.000,110
299,1,2,3,€ 219.000,60
300,3,5+,,€ 896.000,350
301,3+,5+,,€ 349.000,250
302,2,3,1,€ 165.000,77
303,1,3,1,€ 245.000,80
304,2,3,R,€ 189.000,100
305,3+,5,,€ 595.000,230
306,1,1,2,€ 115.000,40
307,1,3,2,€ 269.000,80
308,1,3,2,€ 199.000,80
309,3+,5+,,€ 319.000,200
310,3,4,,€ 249.000,140
311,1,3,1,€ 245.000,85
312,1,2,5,€ 215.000,55
313,2,4,S,€ 425.000,110
314,3,5+,,€ 285.000,155
315,2,4,,€ 269.000,135
316,1,3,R,€ 149.000,90
317,1,3,1,€ 257.000,61
318,3,5,,€ 359.000,160
319,1,2,2,€ 109.000,63
320,3,5,,€ 339.000,140
321,3,5+,R,€ 350.000,260
322,3+,5,,€ 1.050.000,295
323,2,5+,,€ 375.000,130
324,3,3,,€ 210.000,128
325,3,5,,€ 349.000,180
326,3,4,,€ 299.000,188
327,3+,5,,€ 350.000,172
328,2,5,5,€ 657.000,87
329,1,1,T,€ 98.000,35
330,1,2,R,€ 209.000,90
331,3+,5+,,€ 399.000,170
332,1,2,3,€ 325.000,60
333,2,4,R,€ 398.000,90
334,3+,5,,€ 449.000,230
335,3,4,,€ 270.000,140
336,1,2,5,€ 217.000,54
337,2,3,5,€ 569.000,74
338,1,2,1,€ 175.000,52
339,3,5,,€ 620.000,230
340,2,5,,€ 499.000,168
341,3+,5+,,€ 1.250.000,650
342,1,2,T,€ 315.000,35
343,2,5,3,€ 2.570.000,210
344,1,2,3,€ 200.000,60
345,2,5+,4,€ 1.560.000,297
346,2,3,,€ 260.000,70
347,3,5,2,€ 590.000,152
348,2,5,T,€ 795.000,160
349,1,3,2,€ 345.000,49
350,1,5,2,€ 580.000,76
351,2,5+,,€ 449.000,180
352,3,4,5,€ 1.300.000,160
353,1,3,3,€ 645.000,100
354,2,3,T,€ 390.000,110
355,1,5+,1,€ 1.280.000,166
356,3,5,T,€ 970.000,239
357,2,5,A,€ 1.060.000,162
358,3+,5+,A,€ 1.390.000,180
359,3,5+,5,€ 1.490.000,225
360,2,3,2,€ 1.100.000,150
361,3,5+,,€ 340.000,190
362,1,2,3,€ 890.000,70
363,2,5,A,€ 599.000,140
364,2,3,2,€ 660.000,104
365,1,3,1,€ 245.000,70
366,1,4,3,€ 590.000,80
367,3+,5+,,€ 1.350.000,700
368,3+,5+,,€ 4.500.000,504
369,2,5,1,€ 370.000,111
370,3,5+,2,€ 1.290.000,270
