,bagni,locali,piano,prezzo(€),superficie
8324,2,3,4,€ 1.050.000,104
8325,1,3,T,€ 310.000,64
8326,2,5+,2,€ 470.000,157
8327,1,4,A,€ 199.000,119
8328,2,4,5,€ 335.000,120
8329,2,4,1,€ 315.000,124
8330,2,5,2,€ 390.000,168
8331,2,5,A,€ 400.000,150
8332,2,5,T,€ 465.000,135
8333,2,3,A,€ 290.000,90
8334,1,3,7,€ 225.000,75
8335,3+,5+,,€ 5.500.000,1.260
8336,1,2,R,€ 125.000,45
8337,3,4,1,€ 569.000,150
8338,1,3,4,€ 269.000,110
8339,2,4,T,€ 530.000,126
8340,1,2,2,€ 200.000,75
8341,3+,5+,,€ 7.700.000,1.900
8342,1,1,T,€ 165.000,40
8343,1,2,2,€ 195.000,60
8344,1,2,2,€ 630.000,67
8345,2,3,3,€ 285.000,90
8346,2,4,A,€ 229.000,110
8347,1,3,2,€ 249.000,85
8348,1,2,1,€ 175.000,60
8349,2,4,,€ 250.000,110
8350,3+,5+,3,€ 3.950.000,348
8351,2,4,A,€ 449.000,123
8352,2,5,A,€ 495.000,125
8353,1,3,3,€ 179.000,75
8354,3,3,6,€ 1.545.000,130
8355,2,5,1,€ 595.000,149
8356,2,5+,3,€ 980.000,114
8357,1,3,8,€ 340.000,96
8358,1,3,T,€ 248.000,90
8359,1,4,2,€ 599.000,120
8360,1,3,1,€ 154.000,55
8361,2,1,T,€ 279.000,210
8362,2,5+,,€ 460.000,215
8363,2,4,2,€ 310.000,140
8364,2,4,3,€ 358.000,147
8365,3,5,2,€ 650.000,182
8366,3+,5+,T,€ 1.470.000,303
8367,1,2,S,€ 125.000,55
8368,2,3,4,€ 295.000,133
8369,2,4,2,€ 199.000,94
8370,2,4,2,€ 595.000,170
8371,1,2,4,€ 159.000,72
8372,1,3,1,€ 210.000,60
8373,1,3,2,€ 229.000,60
8374,1,3,T,€ 229.000,75
8375,2,3,2,€ 249.000,90
8376,1,2,4,€ 225.000,70
8377,3+,5+,,€ 329.000,180
8378,2,4,1,€ 470.000,130
8379,1,3,A,€ 248.000,100
8380,1,2,1,€ 89.000,45
8381,2,3,1,€ 355.000,133
8382,2,5,T,€ 629.000,160
8383,1,3,2,€ 319.000,85
8384,1,2,2,€ 185.000,57
8385,2,4,2,€ 199.000,130
8386,1,1,2,€ 109.000,43
8387,1,3,T,€ 230.000,90
8388,1,1,T,€ 97.000,60
8389,2,5,A,€ 315.000,125
8390,1,2,T,€ 79.000,41
8391,3,4,,€ 229.000,175
8392,2,4,T,€ 199.000,96
8393,3+,5+,,€ 980.000,450
8394,1,2,2,€ 139.000,54
8395,1,2,4,€ 169.000,55
8396,1,2,2,€ 130.000,59
8397,2,5,T,€ 459.000,160
8398,2,3,1,€ 229.000,69
8399,2,4,5,€ 415.000,120
8400,1,2,T,€ 139.000,47
8401,1,3,T,€ 195.000,71
8402,1,5,3,€ 369.000,110
8403,3,5+,,€ 1.350.000,270
8404,1,3,1,€ 149.000,75
8405,2,4,2,€ 649.000,160
8406,1,2,2,€ 119.000,45
8407,2,4,1,€ 349.000,127
8408,2,4,1,€ 185.000,100
8409,2,2,1,€ 119.000,60
8410,1,3,5,€ 298.000,95
8411,1,3,2,€ 275.000,101
8412,1,2,R,€ 189.000,55
8413,1,2,3,€ 250.000,56
8414,2,4,A,€ 169.000,80
8415,1,2,4,€ 265.000,56
8416,1,2,3,€ 126.000,43
8417,3,5,1,€ 550.000,200
8418,2,4,1,€ 179.000,85
8419,3,4,5,€ 449.000,221
8420,3,5,,€ 380.000,180
8421,2,5+,R,€ 570.000,169
8422,1,3,6,€ 278.000,100
8423,1,3,A,€ 295.000,113
8424,1,2,1,€ 225.000,55
8425,2,5+,1,€ 690.000,223
8426,3,4,,€ 269.000,165
8427,1,2,2,€ 155.000,60
8428,2,3,2,€ 165.000,78
8429,1,2,T,€ 130.000,45
8430,2,5,1,€ 590.000,145
8431,1,3,1,€ 211.000,77
8432,2,5,3,€ 315.000,140
8433,3,4,,€ 235.000,151
8434,2,5,3,€ 399.000,123
8435,1,3,4,€ 439.000,90
8436,3,5+,,€ 1.650.000,350
8437,2,3,A,€ 235.000,75
8438,1,2,1,€ 229.000,70
8439,1,3,T,€ 219.000,70
8440,3,5,3,€ 530.000,135
8441,1,2,A,€ 199.000,45
8442,3,5+,1,€ 1.950.000,270
8443,1,2,2,€ 149.000,50
8444,2,5+,2,€ 630.000,185
8445,1,3,5,€ 308.000,70
8446,2,4,4,€ 1.150.000,116
8447,1,4,1,€ 169.000,90
8448,1,2,3,€ 109.000,50
8449,3+,5+,,€ 549.000,200
8450,1,2,5,€ 199.000,70
8451,1,2,S,€ 170.000,43
8452,1,3,2,€ 290.000,77
8453,1,2,2,€ 265.000,56
8454,3,4,,€ 265.000,150
8455,1,3,1,€ 140.000,80
8456,2,3,A,€ 439.000,100
8457,2,5,A,€ 215.000,145
8458,1,2,T,€ 179.000,60
8459,3+,5+,,€ 510.000,250
8460,2,4,A,€ 420.000,120
8461,3+,5+,,€ 870.000,350
8462,1,3,R,€ 169.000,95
8463,1,2,1,€ 189.000,65
8464,1,2,3,€ 242.000,74
8465,1,3,2,€ 355.000,88
8466,1,4,1,€ 135.000,75
8467,3,4,4,€ 685.000,150
8468,2,3,2,€ 320.000,120
8469,2,3,1,€ 410.000,97
8470,2,4,1,€ 435.000,135
8471,1,4,2,€ 229.000,102
8472,2,5+,R,€ 950.000,190
8473,2,4,1,€ 428.000,145
8474,1,3,R,€ 370.000,123
8475,1,1,1,€ 105.000,45
8476,2,4,4,€ 439.000,139
8477,1,1,1,€ 59.000,38
8478,1,3,T,€ 229.000,85
8479,2,4,3,€ 269.000,95
8480,3+,5+,,€ 650.000,300
8481,2,3,T,€ 319.000,95
8482,3,4,,€ 209.000,130
8483,2,4,6,€ 369.000,127
8484,2,4,4,€ 365.000,120
8485,1,3,4,€ 215.000,95
8486,2,3,1,€ 315.000,107
8487,1,2,T,€ 119.000,35
8488,3,4,1,€ 274.000,174
8489,2,5,A,€ 515.000,146
8490,1,3,3,€ 148.000,73
8491,1,2,2,€ 119.000,45
8492,2,4,3,€ 149.000,90
8493,1,2,4,€ 249.000,74
8494,,1,,€ 32.000,19
8495,,1,,€ 13.000,14
8496,,1,,€ 35.000,16
8497,2,3,,€ 229.000,85
8498,2,4,1,€ 540.000,150
8499,1,2,2,€ 225.000,56
8500,2,4,T,€ 610.000,80
8501,2,3,,€ 319.000,130
8502,2,3,T,€ 279.000,90
8503,3+,3,T,€ 550.000,130
8504,2,3,,€ 399.000,175
8505,3+,5+,,€ 479.000,170
8506,1,3,R,€ 210.000,55
8507,2,5,,€ 349.000,150
8508,3,5+,,€ 495.000,220
8509,2,5,6,€ 375.000,120
8510,3,5,,€ 379.000,150
8511,3+,5,1,€ 1.100.000,120
8512,2,3,,€ 279.000,102
8513,3,5+,,€ 229.000,170
8514,2,4,5,€ 430.000,125
8515,1,2,T,€ 240.000,55
8516,1,4,2,€ 135.000,88
8517,1,2,2,€ 169.000,60
8518,3+,5+,,€ 740.000,260
8519,3,5+,,€ 449.000,180
8520,2,4,2,€ 199.000,125
8521,3+,4,2,€ 950.000,200
8522,2,3,,€ 219.000,85
8523,1,2,2,€ 128.000,60
8524,2,3,3,€ 159.000,86
8525,1,3,A,€ 179.000,78
8526,1,2,R,€ 190.000,50
8527,2,4,1,€ 275.000,115
8528,1,2,2,€ 219.000,60
8529,1,3,2,€ 435.000,100
8530,1,3,A,€ 200.000,90
8531,2,4,,€ 270.000,120
8532,2,3,2,€ 229.000,80
8533,3+,5+,,€ 469.000,260
8534,3,5,,€ 299.000,170
8535,3+,5+,,€ 315.000,230
8536,3,4,2,€ 275.000,120
8537,2,3,1,€ 449.000,120
8538,3+,5+,,€ 695.000,290
8539,1,2,1,€ 169.000,55
8540,3,5,,€ 359.000,180
8541,1,2,3,€ 195.000,70
8542,3,4,2,€ 850.000,180
8543,3+,5+,,€ 650.000,600
8544,3+,5+,,€ 470.000,230
8545,1,3,1,€ 175.000,65
8546,3,5+,,€ 335.000,261
8547,3,4,,€ 339.000,161
8548,2,3,3,€ 215.000,85
8549,1,2,T,€ 250.000,93
8550,2,4,A,€ 285.000,125
8551,3,5+,,€ 335.000,250
8552,2,3,1,€ 225.000,80
8553,2,3,,€ 439.000,160
8554,2,4,T,€ 395.000,157
8555,3,5+,,€ 415.000,200
8556,2,3,T,€ 175.000,100
8557,1,2,T,€ 115.000,45
8558,1,2,1,€ 119.000,61
8559,2,3,,€ 269.000,102
8560,2,3,7,€ 249.000,100
8561,3+,5+,,€ 519.000,270
8562,2,4,4,€ 369.000,130
8563,1,3,T,€ 215.000,60
8564,3,4,,€ 199.000,142
8565,1,2,1,€ 169.000,55
8566,2,3,10,€ 295.000,100
8567,2,3,,€ 349.000,130
8568,2,4,R,€ 219.000,90
8569,2,4,,€ 439.000,110
8570,3+,5+,,€ 650.000,331
8571,2,5,,€ 279.000,135
8572,2,3,,€ 219.000,85
8573,1,2,A,€ 95.000,55
8574,3,4,,€ 239.000,110
8575,2,4,,€ 499.000,130
8576,1,4,4,€ 219.000,109
8577,3,4,,€ 249.000,140
8578,2,3,1,€ 325.000,110
8579,3,5,2,€ 469.000,130
8580,2,4,,€ 369.000,170
8581,1,2,T,€ 209.000,81
8582,3,5,,€ 439.000,300
8583,3,4,1,€ 650.000,196
8584,1,3,1,€ 215.000,100
8585,1,2,T,€ 65.000,55
8586,2,3,,€ 369.000,102
8587,3,5+,,€ 329.000,220
8588,2,4,,€ 265.000,120
8589,3+,5,,€ 339.000,180
8590,3,5,,€ 449.000,180
8591,3,5,,€ 299.000,140
8592,1,3,A,€ 390.000,90
8593,1,2,3,€ 215.000,65
8594,2,3,2,€ 209.000,89
8595,2,3,A,€ 350.000,107
8596,1,4,1,€ 255.000,110
8597,2,3,5,€ 339.000,105
8598,2,4,A,€ 335.000,120
8599,3,5,,€ 239.000,135
8600,1,2,R,€ 199.000,65
8601,2,3,T,€ 260.000,70
8602,1,3,1,€ 129.000,90
8603,1,2,T,€ 115.000,60
8604,2,3,1,€ 129.000,85
8605,1,2,T,€ 95.000,60
8606,2,4,,€ 329.000,150
8607,1,2,1,€ 105.000,50
8608,2,4,1,€ 165.000,85
8609,1,3,T,€ 99.000,70
8610,1,2,T,€ 119.000,75
8611,1,2,T,€ 95.000,60
8612,1,2,T,€ 109.000,50
8613,3,5,,€ 279.000,180
8614,3,3,,€ 329.000,150
8615,2,3,T,€ 169.000,90
8616,1,3,2,€ 129.000,100
8617,1,4,2,€ 119.000,100
8618,2,3,,€ 159.000,110
8619,2,3,1,€ 119.000,80
8620,1,2,1,€ 89.000,50
8621,2,5,,€ 299.000,140
8622,1,4,A,€ 418.000,97
8623,1,3,3,€ 180.000,73
8624,2,5,1,€ 350.000,125
8625,2,3,3,€ 258.000,90
8626,1,2,A,€ 155.000,60
8627,1,3,1,€ 129.000,90
8628,1,3,2,€ 200.000,99
8629,1,2,,€ 159.000,55
8630,1,2,A,€ 87.000,45
8631,1,2,1,€ 129.000,60
8632,1,3,4,€ 280.000,80
8633,1,2,1,€ 180.000,50
8634,1,2,,€ 139.000,250
8635,,5+,,€ 340.000,200
8636,2,3,,€ 259.000,100
8637,1,2,A,€ 120.000,40
8638,1,3,3,€ 275.000,106
8639,1,3,3,€ 197.000,83
8640,1,3,R,€ 165.000,82
8641,1,3,2,€ 185.000,85
8642,1,3,1,€ 209.000,93
8643,3,4,1,€ 259.000,233
8644,1,3,1,€ 229.000,103
8645,1,2,T,€ 215.000,69
8646,1,1,2,€ 95.000,40
8647,1,2,R,€ 149.000,75
8648,1,2,T,€ 125.000,75
8649,2,4,6,€ 319.000,130
8650,2,3,R,€ 179.000,90
8651,2,5,A,€ 445.000,185
8652,1,3,2,€ 210.000,83
8653,1,1,4,€ 118.000,61
8654,1,2,1,€ 119.000,77
8655,3,5,3,€ 709.000,298
8656,1,1,4,€ 118.000,62
8657,2,4,4,€ 398.000,130
8658,2,3,5,€ 229.000,90
8659,1,3,2,€ 250.000,94
8660,2,4,1,€ 199.000,139
8661,1,2,1,€ 145.000,52
8662,1,3,6,€ 209.000,81
8663,2,4,T,€ 155.000,132
8664,1,3,T,€ 279.000,105
8665,1,2,1,€ 139.000,52
8666,1,3,1,€ 122.000,91
8667,3,4,,€ 399.000,299
8668,1,2,3,€ 179.000,80
8669,2,3,T,€ 169.000,84
8670,2,3,6,€ 253.000,85
8671,2,4,,€ 485.000,125
8672,3,5,,€ 159.000,166
8673,2,3,,€ 319.000,110
8674,3+,5+,T,€ 2.390.000,500
8675,1,2,,€ 125.000,60
8676,2,5,T,€ 110.000,120
8677,1,1,1,€ 185.000,40
8678,1,2,1,€ 275.000,65
8679,3+,5+,,€ 1.790.000,5.081
8680,2,3,1,€ 220.000,65
8681,1,2,3,€ 258.000,66
8682,1,1,3,€ 150.000,40
8683,3,4,,€ 225.000,140
8684,3,5+,2,€ 650.000,140
8685,1,2,1,€ 99.000,40
8686,2,4,1,€ 275.000,100
8687,2,3,T,€ 250.000,107
8688,1,4,1,€ 165.000,80
8689,2,4,A,€ 239.000,130
8690,2,3,5,€ 280.000,85
8691,2,4,,€ 385.000,120
8692,2,3,,€ 239.000,85
8693,1,1,A,€ 268.000,60
8694,1,3,5,€ 269.000,85
8695,1,3,2,€ 158.000,65
8696,1,3,A,€ 155.000,85
8697,1,2,T,€ 115.000,45
8698,1,3,A,€ 219.000,80
8699,2,3,2,€ 320.000,118
8700,1,1,,€ 39.000,18
8701,1,3,1,€ 309.000,75
8702,2,5+,,€ 599.000,170
8703,2,3,8,€ 369.000,110
8704,1,3,1,€ 475.000,93
8705,1,3,2,€ 249.000,64
8706,1,3,2,€ 159.000,60
8707,1,3,R,€ 159.000,81
8708,1,3,4,€ 229.000,110
8709,1,2,T,€ 185.000,64
8710,3,5,,€ 590.000,240
8711,1,5,3,€ 455.000,110
8712,3,5+,,€ 395.000,200
8713,2,4,,€ 219.000,120
8714,1,3,1,€ 180.000,80
8715,3,5+,,€ 340.000,250
8716,1,1,3,€ 99.000,40
8717,1,5+,,€ 430.000,250
8718,1,2,1,€ 189.000,60
8719,1,2,T,€ 295.000,75
8720,1,3,T,€ 159.000,56
8721,1,4,R,€ 299.000,115
8722,3,5+,,€ 449.000,200
8723,2,4,1,€ 399.000,120
8724,1,5+,T,€ 149.000,130
8725,2,4,,€ 225.000,110
8726,3,4,2,€ 239.000,110
8727,2,5,4,€ 650.000,151
8728,2,4,1,€ 740.000,110
8729,3,5,A,€ 695.000,200
8730,3+,5+,,€ 1.150.000,500
8731,3,5,,€ 219.000,130
8732,3+,5+,3,€ 1.290.000,280
8733,3+,5+,,€ 420.000,200
8734,1,1,A,€ 99.000,60
8735,1,3,1,€ 169.000,70
8736,3,5,,€ 229.000,140
8737,3,5,,€ 299.000,135
8738,3,5+,,€ 387.000,209
8739,3,5+,2,€ 649.000,240
8740,1,2,1,€ 189.000,60
8741,3,5+,,€ 670.000,280
8742,2,4,T,€ 345.000,103
8743,1,3,T,€ 189.000,75
8744,1,3,T,€ 299.000,115
8745,2,2,2,€ 239.000,60
8746,3+,5,1,€ 500.000,180
8747,1,3,4,€ 425.000,111
8748,2,4,3,€ 175.000,106
8749,2,4,,€ 425.000,160
8750,,,,€ 75.600,106
8751,,,,€ 148.200,118
8752,1,2,A,€ 249.000,102
8753,3+,5+,3,€ 840.000,230
8754,2,3,3,€ 1.400.000,177
8755,1,3,T,€ 185.000,80
8756,3+,5+,A,€ 2.200.000,351
8757,2,4,1,€ 440.000,110
8758,3+,5+,,€ 1.800.000,600
8759,1,3,T,€ 175.000,70
8760,1,2,1,€ 100.000,40
8761,1,3,1,€ 269.000,80
8762,1,3,A,€ 243.000,60
8763,3,5+,,€ 2.200.000,1.000
8764,1,2,2,€ 250.000,67
8765,2,5+,T,€ 520.000,150
8766,2,4,T,€ 550.000,130
8767,2,4,3,€ 139.000,180
8768,1,2,1,€ 549.000,55
8769,2,3,1,€ 245.000,100
8770,1,2,1,€ 169.000,62
8771,2,4,2,€ 464.000,120
8772,1,2,3,€ 99.000,89
8773,1,3,2,€ 199.000,84
8774,1,3,1,€ 239.000,91
8775,1,2,T,€ 168.000,60
8776,2,4,2,€ 169.000,78
8777,2,3,2,€ 329.000,111
8778,1,2,1,€ 200.000,94
8779,1,3,2,€ 105.000,107
8780,2,3,T,€ 195.000,120
8781,1,2,S,€ 269.000,73
8782,2,5,A,€ 599.000,170
8783,2,4,A,€ 730.000,148
8784,1,4,1,€ 179.000,90
8785,1,3,2,€ 139.000,70
8786,1,2,3,€ 620.000,97
8787,1,3,,€ 229.000,88
8788,1,2,1,€ 280.000,63
8789,1,3,2,€ 379.000,85
8790,1,3,1,€ 116.000,70
8791,1,2,7,€ 210.000,55
8792,1,2,T,€ 259.000,70
8793,3,5,T,€ 439.000,135
8794,3+,5+,5,€ 698.000,220
8795,1,3,A,€ 169.000,80
8796,1,3,A,€ 740.000,75
8797,1,3,R,€ 183.000,110
8798,2,5,T,€ 475.000,164
8799,3,5+,6,€ 680.000,220
8800,2,3,3,€ 370.000,100
8801,1,3,1,€ 310.000,100
8802,1,5,2,€ 419.000,130
8803,2,4,5,€ 349.000,118
8804,3,5+,,€ 650.000,150
8805,2,4,,€ 335.000,110
8806,2,5,2,€ 400.000,150
8807,3,5+,,€ 620.000,250
8808,1,2,1,€ 59.000,35
8809,2,5,3,€ 460.000,122
8810,1,3,2,€ 135.000,70
8811,1,2,3,€ 249.000,73
8812,2,5+,1,€ 980.000,252
8813,2,4,1,€ 890.000,90
8814,3+,5+,,,600
8815,1,3,1,€ 119.000,75
8816,2,3,1,€ 165.000,75
8817,3,4,,€ 380.000,180
8818,3,5+,,€ 229.000,200
8819,2,4,1,€ 340.000,110
8820,2,5,2,€ 1.150.000,170
8821,1,2,4,€ 265.000,70
8822,2,5,A,€ 480.000,118
8823,2,3,6,€ 290.000,70
8824,1,2,T,€ 310.000,97
8825,3+,5+,5,,1.324
8826,1,3,R,€ 230.000,95
8827,2,3,2,€ 299.000,100
8828,1,3,2,€ 119.000,80
8829,3,5,,€ 249.000,140
8830,1,4,1,€ 190.000,80
8831,1,3,A,€ 239.000,68
8832,2,3,1,€ 185.000,80
8833,1,2,5,€ 250.000,60
8834,3,5+,1,€ 749.000,182
8835,2,5,4,€ 330.000,169
8836,3,5,2,€ 490.000,160
8837,3,5,A,€ 449.000,140
8838,1,4,1,€ 119.000,80
8839,1,3,4,€ 280.000,120
8840,1,3,T,€ 329.000,90
8841,1,1,T,€ 220.000,50
8842,2,4,1,€ 350.000,91
8843,1,2,2,€ 230.000,59
8844,2,3,3,€ 125.000,70
8845,1,2,1,€ 279.000,70
8846,1,3,R,€ 129.000,80
8847,3,5+,2,€ 1.200.000,220
8848,1,3,3,€ 380.000,85
8849,3+,3,,€ 285.000,140
8850,2,4,T,€ 419.000,110
8851,2,5,1,€ 420.000,155
8852,2,3,1,€ 249.000,85
8853,1,2,S,€ 195.000,70
8854,1,4,T,€ 385.000,85
8855,1,3,T,€ 310.000,97
8856,1,4,A,€ 520.000,150
8857,1,3,T,€ 143.000,70
8858,2,3,2,€ 145.000,75
8859,2,3,A,€ 269.000,70
8860,2,3,2,€ 198.000,75
8861,3+,5+,,€ 380.000,204
8862,1,3,A,€ 130.000,97
8863,2,5+,2,€ 189.000,150
8864,2,3,T,€ 139.000,80
8865,3+,5+,,€ 745.000,340
8866,3,5,A,€ 269.000,140
8867,1,3,A,€ 130.000,75
8868,1,4,R,€ 187.000,80
8869,2,3,A,€ 312.000,86
8870,2,4,1,€ 189.000,90
8871,2,4,6,€ 399.000,111
8872,2,5,1,€ 970.000,146
8873,1,3,1,€ 239.000,80
8874,1,2,T,€ 175.000,45
8875,1,2,T,€ 89.000,43
8876,1,3,2,€ 125.000,100
8877,3+,5+,,€ 649.000,190
8878,2,5,1,€ 470.000,150
8879,2,3,1,€ 269.000,135
8880,1,2,1,€ 130.000,55
8881,1,2,T,€ 150.000,75
8882,2,3,A,€ 310.000,90
8883,3,5+,A,€ 850.000,170
8884,1,2,1,€ 155.000,58
8885,1,2,A,€ 190.000,65
8886,2,3,1,€ 490.000,139
8887,1,3,T,€ 208.000,86
8888,3+,5+,1,€ 490.000,255
8889,3,5+,4,€ 729.000,180
8890,3+,5+,,€ 1.950.000,600
8891,1,2,1,€ 155.000,62
8892,1,2,T,€ 155.000,70
8893,2,2,,€ 320.000,75
8894,1,4,A,€ 295.000,130
8895,1,2,A,€ 230.000,60
8896,1,2,2,€ 190.000,70
8897,2,3,1,€ 139.000,60
8898,2,4,6,€ 340.000,110
8899,2,3,3,€ 239.000,80
8900,2,3,3,€ 290.000,96
8901,3+,5+,,€ 650.000,255
8902,1,3,1,€ 179.000,75
8903,1,2,T,€ 137.000,15
8904,1,4,3,€ 399.000,105
8905,1,3,1,€ 360.000,110
8906,2,5,1,€ 325.000,235
8907,2,3,1,€ 350.000,86
8908,2,5+,1,€ 427.000,240
8909,2,4,A,€ 595.000,135
8910,2,4,3,€ 469.000,140
8911,1,4,A,€ 296.000,156
8912,2,4,S,€ 630.000,147
8913,1,2,A,€ 68.000,46
8914,3+,4,,€ 69.000,115
8915,1,2,1,€ 185.000,55
8916,1,3,2,€ 175.000,85
8917,1,2,4,€ 175.000,45
8918,1,1,1,€ 170.000,50
8919,2,3,A,€ 229.000,75
8920,1,3,R,€ 249.000,82
8921,1,2,4,€ 115.000,52
8922,2,4,T,€ 95.000,172
8923,2,3,A,€ 215.000,80
8924,2,3,4,€ 250.000,90
8925,2,4,1,€ 195.000,125
8926,1,3,1,€ 148.000,70
8927,2,5,8,€ 299.000,139
8928,1,2,2,€ 149.000,70
8929,2,5,1,€ 900.000,168
8930,1,3,1,€ 199.000,95
8931,3,5+,,€ 580.000,330
8932,2,3,2,€ 289.000,98
8933,1,2,1,€ 99.000,60
8934,1,4,,€ 229.000,100
8935,2,3,1,€ 325.000,89
8936,2,3,2,€ 295.000,96
8937,3,5+,,€ 229.000,160
8938,2,4,1,€ 159.000,101
8939,2,3,3,€ 220.000,80
8940,1,2,3,€ 105.000,50
8941,1,3,T,€ 339.000,78
8942,3+,5+,A,€ 810.000,230
8943,3,5+,,€ 575.000,320
8944,1,1,,€ 45.000,21
8945,1,2,2,€ 150.000,53
8946,2,3,A,€ 395.000,101
8947,1,4,T,€ 139.000,85
8948,,1,,€ 50.000,41
8949,1,3,3,€ 219.000,85
8950,,1,,€ 32.000,47
8951,2,3,1,€ 269.000,110
8952,1,3,6,€ 265.000,81
8953,1,2,T,€ 270.000,55
8954,1,3,7,€ 229.000,100
8955,2,3,3,€ 270.000,93
8956,1,3,2,€ 215.000,72
8957,3+,5+,,€ 440.000,270
8958,3,5,,€ 460.000,190
8959,3+,5+,,€ 1.250.000,764
8960,1,2,A,€ 207.000,58
8961,1,2,5,€ 155.000,50
8962,2,3,,€ 379.000,100
8963,1,2,3,€ 179.000,69
8964,3+,5+,,€ 1.190.000,300
8965,2,4,A,€ 186.000,75
8966,2,3,2,€ 150.000,84
8967,1,2,T,€ 105.000,45
8968,2,2,A,€ 159.000,60
8969,1,3,T,€ 249.000,60
8970,1,4,3,€ 269.000,100
8971,3+,5+,,€ 600.000,310
8972,2,3,A,€ 349.000,95
8973,3,5,,€ 699.000,150
8974,3,5+,3,€ 1.350.000,250
8975,2,5,R,€ 749.000,180
8976,3,4,5,€ 469.000,150
8977,2,5,1,€ 560.000,120
8978,3+,5+,,€ 950.000,600
8979,1,1,5,€ 168.000,43
8980,2,5,2,€ 245.000,161
8981,1,3,T,€ 219.000,90
8982,3,5,3,€ 1.500.000,211
8983,1,3,4,€ 315.000,90
8984,1,2,5,€ 189.000,51
8985,,3,1,€ 259.000,110
8986,3+,5+,,€ 750.000,300
8987,2,3,4,€ 179.000,85
8988,2,4,1,€ 229.000,110
8989,1,2,7,€ 210.000,65
8990,1,3,R,€ 185.000,102
8991,1,2,2,€ 180.000,62
8992,1,2,3,€ 185.000,67
8993,2,3,T,€ 380.000,100
8994,2,4,,€ 210.000,80
8995,2,3,1,€ 330.000,95
8996,2,3,2,€ 220.000,82
8997,2,3,A,€ 194.000,87
8998,2,4,7,€ 335.000,90
8999,3,5,A,€ 250.000,150
9000,2,4,1,€ 415.000,120
9001,2,5,1,€ 520.000,140
9002,1,4,5,€ 575.000,155
9003,2,4,1,€ 420.000,140
9004,2,5+,1,€ 257.000,180
9005,2,4,R,€ 299.000,103
9006,2,4,3,€ 329.000,120
9007,1,4,,€ 419.000,140
9008,1,1,R,€ 189.000,30
9009,2,4,2,€ 439.000,135
9010,3+,5+,,€ 990.000,300
9011,3,5+,,€ 395.000,220
9012,1,3,2,€ 270.000,80
9013,2,3,A,€ 235.000,116
9014,1,3,1,€ 129.000,65
9015,1,3,3,€ 205.000,80
9016,1,3,1,€ 199.000,85
9017,1,2,T,€ 145.000,50
9018,1,3,,€ 109.000,70
9019,1,3,2,€ 185.000,90
9020,2,5,1,€ 570.000,140
9021,3+,5+,,€ 649.000,280
9022,2,4,T,€ 390.000,107
9023,2,4,2,€ 275.000,110
9024,1,3,A,€ 109.000,62
9025,1,3,3,€ 285.000,85
9026,1,2,1,€ 16.875,29
9027,2,3,,€ 245.000,118
9028,1,3,4,€ 289.000,105
9029,2,3,1,€ 590.000,100
9030,2,4,3,€ 410.000,146
9031,3+,5+,,€ 595.000,283
9032,1,2,3,€ 173.000,52
9033,2,4,2,€ 295.000,118
9034,,,,€ 25.000,10
9035,1,2,1,€ 115.000,73
9036,1,2,1,€ 224.000,55
9037,1,4,1,€ 195.000,105
9038,1,2,3,€ 199.000,62
9039,2,3,T,€ 299.000,85
9040,1,2,R,€ 139.000,60
9041,1,2,2,€ 145.000,65
9042,2,4,2,€ 230.000,115
9043,1,2,2,€ 94.000,40
9044,1,2,T,€ 129.000,60
9045,1,3,R,€ 200.000,50
9046,1,1,1,€ 115.000,40
9047,1,2,,€ 107.000,50
9048,1,2,1,€ 189.000,48
9049,1,3,4,€ 325.000,92
9050,3,4,,€ 255.000,160
9051,1,4,2,€ 259.000,120
9052,2,4,R,€ 249.000,105
9053,2,3,,€ 189.000,85
9054,1,4,7,€ 490.000,118
9055,1,3,A,€ 220.000,115
9056,2,4,A,€ 169.000,75
9057,1,3,1,€ 139.000,65
9058,2,3,R,€ 220.000,95
9059,1,2,1,€ 289.000,63
9060,2,3,3,€ 249.000,100
9061,3+,5+,,€ 990.000,450
9062,1,4,2,€ 409.000,124
9063,2,3,T,€ 299.000,100
9064,1,3,R,€ 229.000,85
9065,3,4,,€ 569.000,200
9066,,2,R,€ 149.000,71
9067,,5+,3,€ 480.000,160
9068,2,3,1,€ 275.000,90
9069,1,2,1,€ 169.000,54
9070,1,3,R,€ 179.000,95
9071,1,4,R,€ 199.000,125
9072,1,3,R,€ 255.000,170
9073,2,2,A,€ 265.000,60
9074,2,5,T,€ 270.000,150
9075,1,2,2,€ 215.000,65
9076,3,5,A,€ 440.000,200
9077,1,2,A,€ 144.000,54
9078,,2,2,€ 93.000,35
9079,3+,5+,A,€ 1.580.000,280
9080,1,3,T,€ 175.000,75
9081,3,5+,,€ 699.000,320
9082,3,4,S,€ 280.000,130
9083,1,2,3,€ 165.000,60
9084,1,3,A,€ 159.000,75
9085,2,3,2,€ 249.000,106
9086,2,4,1,€ 340.000,116
9087,1,2,6,€ 275.000,85
9088,1,3,1,€ 145.000,70
9089,1,2,T,€ 135.000,40
9090,2,3,3,€ 329.000,95
9091,2,3,1,€ 239.000,80
9092,2,3,1,€ 223.000,80
9093,1,2,A,€ 99.000,45
9094,1,3,2,€ 189.000,76
9095,,,,€ 33.000,28
9096,1,3,4,€ 155.000,75
9097,2,4,T,€ 239.000,105
